name,rating,rating_count,cost,cuisine,city
Janta Sweet House,4.4,50,200,"Sweets,Bakery",Abohar
theka coffee desi,3.8,100,100,Beverages,Abohar
Singh Hut,3.7,20,250,"Fast Food,Indian",Abohar
Sam Uncle,3.6,20,200,Continental,Abohar
shere punjab veg,4.0,100,150,North Indian,Abohar
Hinglaj Kachori Bhandhar,4.2,20,100,"Snacks,Chaat",Abohar
Sethi Milk Badam,4.2,20,100,"Sweets,Desserts",Abohar
Bharawan Da Dhaba,4.4,50,300,Indian,Abohar
Roll Express,4.0,20,200,Fast Food,Abohar
FOODY MOOD,4.7,20,300,"Fast Food,Chinese",Abohar
Royal Chicken,4.2,20,200,"Mughlai,North Indian",Abohar
Domino's Pizza,4.4,20,400,Pizzas,Abohar
NIKKU VEG THALI,4.1,100,150,North Indian,Abohar
SUDESH FAST FOOD,4.0,20,250,"Bakery,Chinese",Abohar
Bihari da vaishno dhaba,4.0,20,200,North Indian,Abohar
Sharma Bakery,3.5,20,100,Bakery,Adilabad
IFC Restaurant,3.5,100,400,American,Adilabad
Ayappa Fast Food,3.6,20,100,Chinese,Adilabad
Hot N Chill Restaurant,3.5,100,150,"European,Italian",Adilabad
China Kitchen Fast Food,3.1,20,150,"Chinese,Fast Food",Adilabad
Devi Family Restaurant,3.4,50,400,"Indian,Chinese",Adilabad
Hotel Radha Grand Family restaurant,3.5,50,200,Biryani,Adilabad
Hotel Surabhi Grand,3.7,100,300,"Indian,Chinese",Adilabad
Food Court,3.4,50,400,"Indian,Chinese",Adilabad
Minerva Ice Cream,4.0,20,250,Desserts,Adilabad
Lotus Grand Family Restaurant,3.6,50,250,Biryani,Adilabad
Sri Sai Mom's Kitchen Restaurant,3.3,20,400,Biryani,Adilabad
Renuka Hotel,3.1,20,250,South Indian,Adilabad
Tanishq Family Restaurant,3.7,50,250,"Chinese,Indian",Adilabad
KMC Hotel,3.6,20,100,Biryani,Adilabad
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8,20,300,Desserts,Adityapur
La Pino'z Pizza,4.1,500,200,"Pizzas,Fast Food",Adityapur
Chaw Box,3.3,100,300,"Chinese,North Indian",Adityapur
Cafe Coffee Day,3.7,50,300,"Beverages,Snacks",Adityapur
Aditya Inn Restaurant,3.6,100,150,"Biryani,Chinese",Adityapur
Indian Bakery,3.3,100,200,Bakery,Adityapur
The Onyx (Pure veg),3.8,100,300,"Indian,Chinese",Adityapur
NEW GANGOUR SWEETS (Adityapur),4.0,50,200,South Indian,Adityapur
National Bakery,4.4,50,399,"Bakery,Snacks",Adityapur
KFC,4.0,500,400,"American,Snacks",Adityapur
Buddha Delight - Gamharia,3.5,100,200,"Chinese,Indian",Adityapur
Dosa Planet,3.9,500,249,"South Indian,Indian",Adityapur
Pizza Hut,3.3,100,350,Pizzas,Adityapur
Junction,3.9,500,399,"Indian,Chinese",Adityapur
Kolkata Royal Biryani,3.7,500,150,"Biryani,Street Food",Adityapur
Yummerica Fries,3.8,50,400,"American,Beverages",Adityapur
Tandoori Hut,4.4,20,400,"North Indian,Tandoor",Adityapur
Karim's,2.7,20,500,"Snacks,Kebabs",Adityapur
New Gangour Sweets (Bistupur),4.3,100,99,Sweets,Adityapur
Momo Nation Cafe,3.8,50,200,"Nepalese,Chinese",Adityapur
NIC Natural Ice Creams,4.4,500,120,"Ice Cream,Desserts",Adityapur
Haldiram's Prabhuji,4.0,100,300,"North Indian,South Indian",Adityapur
Chowringhee Square,3.5,20,250,"Biryani,North Indian",Adityapur
Kanya Restaurant,4.1,500,200,"North Indian,Chinese",Adityapur
Domino's Pizza,4.1,50,400,Pizzas,Adityapur
Motel Madhuban,4.1,100,499,"Indian,Chinese",Adityapur
Baker Street,4.1,100,150,Bakery,Adityapur
Dasaprakash,4.3,100,400,"South Indian,North Indian",Adityapur
Biryani House,2.9,20,499,"Biryani,Indian",Adityapur
Little Metro,3.9,100,200,"North Indian,Chinese",Adityapur
The Madrasi Hotel,4.3,100,299,South Indian,Adityapur
Grameen Kulfi,4.5,100,120,"Ice Cream,Desserts",Adityapur
